epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1633.41,1.34016,0.60142,1.15276,0.93359,0.93401,0.96912,0.58473,1.42087,0.59393,1.23326,0.000294239,0.000294239,0.000294239
66,1658.37,1.31995,0.60153,1.13472,0.92245,0.94593,0.96801,0.59382,1.41194,0.58462,1.2337,0.000280275,0.000280275,0.000280275
67,1683.26,1.32762,0.60059,1.14296,0.93066,0.94585,0.96766,0.58637,1.43323,0.59679,1.24242,0.000266532,0.000266532,0.000266532
68,1708.11,1.33818,0.59759,1.13473,0.93834,0.93909,0.96892,0.58812,1.43152,0.58897,1.2476,0.000253024,0.000253024,0.000253024
69,1732.93,1.30893,0.59861,1.14352,0.93332,0.93232,0.96435,0.58405,1.41199,0.5982,1.23512,0.000239766,0.000239766,0.000239766
70,1757.87,1.31484,0.59148,1.13792,0.92491,0.93232,0.96744,0.58651,1.41012,0.59096,1.23095,0.000226769,0.000226769,0.000226769
71,1782.75,1.29198,0.57787,1.13793,0.93439,0.93984,0.97116,0.59062,1.40923,0.58538,1.22735,0.000214046,0.000214046,0.000214046
72,1807.92,1.31605,0.59327,1.14136,0.93423,0.94247,0.97094,0.59285,1.40296,0.57874,1.22626,0.000201611,0.000201611,0.000201611
73,1832.9,1.30622,0.5964,1.13067,0.93697,0.93909,0.97059,0.59643,1.40387,0.57786,1.22541,0.000189475,0.000189475,0.000189475
74,1857.88,1.28496,0.57714,1.12596,0.93543,0.93143,0.97034,0.59266,1.40165,0.57905,1.23034,0.000177651,0.000177651,0.000177651
75,1882.97,1.30527,0.58772,1.13405,0.93549,0.93239,0.96907,0.59649,1.39712,0.5685,1.22924,0.000166149,0.000166149,0.000166149
76,1907.96,1.28163,0.57859,1.1284,0.92631,0.94585,0.97107,0.60143,1.39155,0.57386,1.22618,0.000154982,0.000154982,0.000154982
77,1932.91,1.29022,0.57472,1.12555,0.92393,0.94536,0.97055,0.6007,1.3908,0.57554,1.22287,0.000144161,0.000144161,0.000144161
