epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4563.05,1.51049,0.74813,1.28812,0.93532,0.92978,0.97917,0.54293,1.58293,0.65029,1.31799,0.000736625,0.000736625,0.000736625
71,4628.03,1.47739,0.6899,1.28254,0.93074,0.93063,0.97202,0.52704,1.62622,0.63782,1.34011,0.000729725,0.000729725,0.000729725
72,4693.13,1.47409,0.7151,1.2707,0.93095,0.94078,0.97285,0.52464,1.63099,0.64592,1.34289,0.00072277,0.00072277,0.00072277
73,4758.46,1.46206,0.72061,1.26365,0.94132,0.92289,0.97318,0.52068,1.65733,0.66129,1.36684,0.000715761,0.000715761,0.000715761
74,4823.62,1.5099,0.74235,1.29608,0.92662,0.91709,0.96864,0.552,1.5738,0.64125,1.31172,0.0007087,0.0007087,0.0007087
75,4888.88,1.47908,0.71845,1.29446,0.93465,0.93401,0.97337,0.5444,1.57194,0.63305,1.316,0.000701588,0.000701588,0.000701588
76,4953.94,1.47942,0.6878,1.27719,0.93872,0.93316,0.97014,0.50879,1.65871,0.66177,1.36094,0.000694428,0.000694428,0.000694428
77,5018.96,1.43776,0.68447,1.27531,0.95222,0.92893,0.97173,0.50866,1.68308,0.65421,1.37089,0.000687222,0.000687222,0.000687222
78,5083.72,1.43589,0.68534,1.26211,0.93924,0.94154,0.97454,0.50671,1.70485,0.67131,1.37432,0.00067997,0.00067997,0.00067997
79,5148.01,1.47013,0.68007,1.27369,0.89664,0.9541,0.97151,0.49194,1.73323,0.66459,1.40977,0.000672675,0.000672675,0.000672675
80,5212.34,1.44311,0.66946,1.27325,0.91626,0.92893,0.97011,0.49302,1.70166,0.66087,1.38901,0.000665339,0.000665339,0.000665339
81,5276.57,1.4695,0.68763,1.27443,0.9352,0.92791,0.97133,0.5295,1.62268,0.63424,1.32966,0.000657963,0.000657963,0.000657963
82,5340.95,1.46449,0.72157,1.28145,0.91536,0.95262,0.97365,0.51195,1.6799,0.65707,1.3683,0.00065055,0.00065055,0.00065055
83,5405.09,1.46816,0.7023,1.28478,0.9352,0.94247,0.97389,0.47705,1.77903,0.67087,1.42718,0.000643101,0.000643101,0.000643101
84,5469.04,1.47878,0.68945,1.2951,0.92862,0.92458,0.97013,0.49097,1.73559,0.65978,1.39325,0.000635617,0.000635617,0.000635617
85,5533.75,1.44482,0.68254,1.2605,0.92764,0.93271,0.96515,0.4711,1.79415,0.67567,1.43228,0.000628101,0.000628101,0.000628101
86,5598.65,1.46608,0.65979,1.27339,0.92532,0.94342,0.97201,0.51284,1.65755,0.63165,1.34762,0.000620555,0.000620555,0.000620555
87,5663.6,1.43853,0.66125,1.25899,0.93023,0.94247,0.97173,0.50884,1.68516,0.64288,1.37012,0.000612981,0.000612981,0.000612981
88,5728.58,1.45352,0.67841,1.27606,0.92916,0.93909,0.97517,0.5153,1.65761,0.62638,1.36115,0.00060538,0.00060538,0.00060538
89,5793.57,1.46061,0.65995,1.26975,0.94023,0.93232,0.97347,0.5283,1.62301,0.6135,1.33807,0.000597754,0.000597754,0.000597754
